2021.08.11 00:20:37 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=0ms
2021.08.11 00:20:37 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=77 | status=SUCCESS | time=73ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=5242 | status=SUCCESS | time=1863ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=0 | status=SUCCESS | time=0ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=0ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist issues | inserts=0 | updates=0 | merged=0 | untouched=13 | status=SUCCESS | time=23ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=4ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=5ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=71ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=6ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=4ms
2021.08.11 00:20:39 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=288ms
2021.08.11 00:20:42 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=2182ms
2021.08.11 00:20:42 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Send issue notifications | newIssuesNotifs=0 | newIssuesDeliveries=0 | myNewIssuesNotifs=0 | myNewIssuesDeliveries=0 | changesNotifs=0 | changesDeliveries=0 | status=SUCCESS | time=3ms
2021.08.11 00:20:42 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Publish task results | status=SUCCESS | time=0ms
2021.08.11 00:20:42 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Trigger refresh of Portfolios and Applications | status=SUCCESS | time=0ms
2021.08.11 00:20:42 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.CeWorkerImpl] Executed task | project=SimpleExpressExample:Test | type=REPORT | id=AXsylQOgjjGvELeIQD8d | submitter=admin | status=SUCCESS | time=8535ms
2021.08.11 00:24:50 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=SimpleExpressExample:Test | type=REPORT | id=AXsymPY1jjGvELeIQD8e | submitter=admin
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=97ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=13ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=7ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=6ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=1ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=43ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=0ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=110 | status=SUCCESS | time=94ms
2021.08.11 00:24:51 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=4ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=723ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=20ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=15ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=62 | dbFiles=62 | addedFiles=0 | status=SUCCESS | time=55ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=0 | status=SUCCESS | time=8ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=121ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=343ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=34ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=6ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=3ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=4ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=5ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute language distribution | status=SUCCESS | time=10ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute test measures | status=SUCCESS | time=5ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute complexity measures | status=SUCCESS | time=5ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Load measure computers | status=SUCCESS | time=1ms
2021.08.11 00:24:52 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute Quality Profile status | status=SUCCESS | time=16ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Execute component visitors | status=SUCCESS | time=399ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=0ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=2ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=4ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Generate Quality profile events | status=SUCCESS | time=3ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Generate Quality gate events | status=SUCCESS | time=31ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist components | status=SUCCESS | time=117ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist analysis | status=SUCCESS | time=20ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=1ms
2021.08.11 00:24:53 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=77 | status=SUCCESS | time=153ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=5242 | status=SUCCESS | time=2020ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=0 | status=SUCCESS | time=0ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=0ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist issues | inserts=0 | updates=0 | merged=0 | untouched=13 | status=SUCCESS | time=15ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=25ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=5ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=45ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=43ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=10ms
2021.08.11 00:24:55 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=126ms
2021.08.11 00:24:56 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=900ms
2021.08.11 00:24:56 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Send issue notifications | newIssuesNotifs=0 | newIssuesDeliveries=0 | myNewIssuesNotifs=0 | myNewIssuesDeliveries=0 | changesNotifs=0 | changesDeliveries=0 | status=SUCCESS | time=2ms
2021.08.11 00:24:56 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Publish task results | status=SUCCESS | time=0ms
2021.08.11 00:24:56 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.s.ComputationStepExecutor] Trigger refresh of Portfolios and Applications | status=SUCCESS | time=0ms
2021.08.11 00:24:56 INFO  ce[AXsymPY1jjGvELeIQD8e][o.s.c.t.CeWorkerImpl] Executed task | project=SimpleExpressExample:Test | type=REPORT | id=AXsymPY1jjGvELeIQD8e | submitter=admin | status=SUCCESS | time=6023ms
2021.08.11 00:30:59 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=SimpleExpressExample:Test | type=REPORT | id=AXsynpKjjjGvELeIQD8f | submitter=admin
2021.08.11 00:30:59 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=89ms
2021.08.11 00:30:59 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=22ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=12ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=18ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=1ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=45ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=1ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=110 | status=SUCCESS | time=147ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=7ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=607ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=29ms
2021.08.11 00:31:00 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=28ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=62 | dbFiles=62 | addedFiles=0 | status=SUCCESS | time=65ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=0 | status=SUCCESS | time=6ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=97ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=408ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=16ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=6ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=2ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=2ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=3ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute language distribution | status=SUCCESS | time=8ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute test measures | status=SUCCESS | time=2ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute complexity measures | status=SUCCESS | time=3ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Load measure computers | status=SUCCESS | time=1ms
2021.08.11 00:31:01 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute Quality Profile status | status=SUCCESS | time=18ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Execute component visitors | status=SUCCESS | time=308ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=0ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=4ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=2ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Generate Quality profile events | status=SUCCESS | time=5ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Generate Quality gate events | status=SUCCESS | time=3ms
